question,A,B,C,D,E,answer
针灸治疗颤证时，所选择的主要经脉是____,足太阳、足少阳经穴,手少阳、足厥阴经穴,督脉、手足少阳经穴,任脉、手足阳明经穴,冲脉、手足厥阴经穴,C
肺俞穴的针刺深度应把握在____,斜刺0.3~0.5寸,斜刺0.5~0.8寸,直刺0.5~0.8寸,斜刺0.3~0.8寸,直刺0.3~0.8寸,B
合并肺部感染的重症肌无力患者，针对其肺部感染应选用____,青霉素类,丁胺卡那,庆大霉素,四环素,磺胺类,A
针灸治疗小儿遗尿，除相应背俞穴外，还应选取以下哪组经脉的腧穴____,任脉、足少阴,任脉、足少阳,任脉、足太阴,任脉、足太阳,足太阴、足太阳,A
与冲脉交会最多的经脉是____,足太阴脾经,阴维脉,足厥阴肝经,足少阴肾经,任脉,D
关于肥胖症的治疗，下列说法不正确的是____,不需配合锻炼,治疗法则为祛湿化痰，通经活络,主要选取手足阳明经、足太阴经穴,可用皮肤针叩刺局部阿是穴,耳针可选取胃、脾、肺、内分泌、三焦,A
针灸治疗晕厥可点刺出血的穴位不包括____,四缝,百会,中冲,十二井,十宣,A
针灸治疗肥胖之脾胃虚弱者，宜加用____,上巨虚、内庭,脾俞、足三里,肾俞、关元,神门、内关,内关、膻中,B
额旁1线的定位是，在头前部____,从神庭穴向前引一条直线，长1寸,从头临泣穴向前引一条直线，长1寸,从上星穴向前引一条直线，长1寸,从眉冲穴向前引一条直线，长1寸,从眉冲穴向前引一条直线，长1.5寸,D
治疗呕吐的配穴法不正确的是____,肝气犯胃者配期门、章门,痰饮者配膻中、丰隆、公孙,肠鸣者配脾俞、大肠俞,泛酸干呕者配建里、公孙,食滞者配梁门、天枢,A
顶旁1线的定位是：在头顶部，督脉旁开1.5寸____,从通天穴向后引一条长1.5寸的线,从通天穴向后引一条长1寸的线,从正营穴向后引一条长1寸的线,从承光穴向后引一条长1.5寸的线,从络却穴向后引一条长1.5寸的线,A
下列各项，不属于治疗乳癖选取的穴位是____,太溪,人迎,乳根,肩井,足三里,A
常用吸罐拔罐法中，投火法多用于____,头颈部,四肢部,腰背部,身体侧部,胸腹部,D
上星至强间的距离是____,7寸,4寸,6寸,3寸,5寸,A
足少阴络脉的病候是____,咽肿,阴部瘙痒,一身尽痛,不能言语,二便不通,E
常用于治疗痿证、瘫痪的电针波形是____,密波,疏波,断续波,连续波,可调波,C
起于无名指末端的经是____,心经,三焦经,心包经,肺经,小肠经,B
由气血虚衰、清窍失养所致的眩晕，治疗主要取____,内关、百会、后溪、太溪、神阙,风池、百会、太阳、头维、气海,风池、百会、肾俞、肝俞、足三里,风池、百会、太冲、合谷、关元,风池、百会、太阳、列缺、悬钟,C
额前2线的定位是，在头前部____,从神庭穴向前引一条直线，长1寸,从头维穴向前引一条直线，长1寸,从上星穴向前引一条直线，长1寸,从头临泣穴向前引一条直线，长1寸,从眉冲穴向前引一条直线，长1.5寸,D
既是足太阴脾经的络穴，又是八脉交会穴，通冲脉的腧穴是____,商丘,公孙,太白,三阴交,地机,B
从肘横纹至腕掌横纹的骨度分寸是____,13寸,9寸,12寸,8寸,10寸,C
以下关于TIA的说法，不正确的是____,颈内动脉系统TIA和表现为一过性黑蒙的椎一基底动脉系统的TIA最易发生脑梗死,TIA发病后的2~7天内是卒中的高风险期,房颤合并的TIA 易发生栓塞性脑梗死,TIA好发于中老年人，男女比例大致相当,TIA 恢复快，不遗留后遗症，但可反复发作,D
下列十二经脉的流注次序中，错误的是____,肝经→胆经,心经→小肠经,脾经→心经,肺经→大肠经,肾经→心包经,A
下列经脉中没有按照十二经脉循行流注次序的是____,胆、  肝、  肺,大肠、胃、脾,心、小肠、  肾,肾、心包、三焦,三焦、胆、肝,C
足三阴经在足内踝上8寸以下的排列是____,厥阴在前，少阴在中，太阴在后,少阴在前，厥阴在中，太阴在后,太阴在前，少阴在中，厥阴在后,厥阴在前，太阴在中，少阴在后,少阴在前，太阴在中，厥阴在后,D
下列哪项与胞宫没有直接联系____,胞脉,冲脉,任脉,督脉,带脉,A
患者，男，60岁。两耳听力下降5个月，伴耳鸣如蝉，腰膝酸软，脉沉细。治疗应选取____,手、足厥阴经穴为主，兼取手少阳经穴,手、足少阴经穴为主，兼取手少阳经穴,手、足太阳经穴为主，兼取足少阴经穴,手、足少阳经穴为主，兼取足少阴经穴,足厥阴、足少阴经穴为主，兼取手少阳经穴,D
患者，女，46岁。2周来，自觉心慌，时作时止，兼头晕，舌淡红，脉细弱。治疗应选取何经穴为主____,手太阴、足少阴经,足少阴、手少阴经,手厥阴、足厥阴经,手少阴、手厥阴经,足少阴、手厥阴经,D
患者，男，25岁。胁肋胀痛1个月，伴见恶心呕吐，舌红苔黄腻。治疗应取何经穴为主____,足少阳、足厥阴经,足少阳、足阳明经,足阳明、足太阴经,足厥阴、足太阳经,足太阳、足太阴经,A
既能治疗局部病症，又能治疗本经循行所属远隔部位病症的腧穴是____,全身所有腧穴,头面部腧穴,躯干部腧穴,四肢部腧穴,十二经脉肘、膝关节以下的腧穴,D
患者鼻流浊涕，黄稠腥臭，伴头痛，口苦咽干，舌红苔黄，脉弦数。治疗应以____,手太阴、手阳明经穴为主,手太阴、任脉经穴为主,手阳明、手太阳、督脉经穴为主,手阳明、足厥阴、足少阳经穴为主,足阳明、足太阳经穴为主,A
根据骨度分寸，除哪项外，两者间距都是9寸____,两完骨间,天突至歧骨,剑突联合至脐中,腋前后纹头至肘横纹（平肘尖）,前两额角发际（头维）之间,C
肘横纹中，肱二头肌腱桡侧凹陷中的腧穴是____,尺泽,曲泽,少海,小海,曲池,A
循行于上肢外侧前缘的经脉是____,肺经,大肠经,三焦经,小肠经,心经,B
大肠的下合穴是____,上巨虚,下巨虚,足三里,天枢,委中,A
位于肘横纹外侧端的穴位为____,曲泽,曲池,尺泽,小海,天井,B
经脉循行联系上齿的为____,足少阴肾经,手阳明大肠经,足少阳胆经,足阳明胃经,足太阳膀胱经,D
治疗痢疾、便秘、肠痈常选____,内庭,丰隆,下巨虚,条口,上巨虚,E
下列五输穴中，属“荥”的是____,内庭,厉兑,足三里,解溪,阴谷,A
小肠的下合穴是____,上巨虚,下巨虚,足三里,阳陵泉,委中,B
患者，女，60岁。咳嗽，痰黏量多，伴见食欲不振，舌苔白腻，脉滑。为加强化痰作用，应首选____,肺俞,列缺,丰隆,合谷,足三里,C
足太阴脾经在胸部循行距前正中线旁开多少寸____,6寸,5寸,4寸,3寸,2寸,A
既可治疗脾胃病，又多用于生殖系统、泌尿系统疾病的穴位为____,三阴交,梁丘,公孙,阴陵泉,胃俞,A
通里善于治疗____,肘关节疼痛,盗汗,自汗,舌强不语,吐血,D
屈肘时，肘横纹尺侧端与肱骨内上髁之间的腧穴是____,曲池,曲泽,尺泽,少海,小海,D
下列各项，治疗产后乳少，应首选____,少泽,少商,中冲,涌泉,至阴,A
足太阳膀胱经在躯干部的循行____,前面,侧面,后背,上部,下部,C
治疗胎位不正，应首选____,阳白,至阴,大敦,昆仑,太溪,B
患者，女，27岁。怀孕7个月，检查发现胎位不正。纠正胎位应首选____,太冲,中脉,昆仑,少泽,至阴,E
足少阴肾经的原穴为____,照海,太溪,阴谷,复溜,然谷,B
治疗盗汗或热病汗不出，应首选____,大椎,风池,复溜,太溪,合谷,C
主要治疗心、胸、胃、神志病证的经脉是____,手太阴肺经,手少阴心经,足阳明胃经,手厥阴心包经,足太阴脾经,D
患者，男，30岁。昨日起胃脘胀痛，饮食不下，今天见呕吐频频。治疗应首选____,内庭,丰隆,太冲,内关,合谷,D
循上肢外侧中线上达肩部的经脉是____,手阳明大肠经,手少阴心经,手太阳小肠经,手太阴肺经,手少阳三焦经,E
循行于下肢外侧中线的经脉是____,胆经,脾经,胃经,膀胱经,三焦经,A
耳尖直上，当入发际1.5寸处的腧穴是____,曲鬓,完骨,率谷,角孙,风池,C
既可治疗口苦、胁肋疼痛，又善于治疗筋脉失养病证的穴位为____,阳陵泉,支沟,丘墟,光明,间使,A
既是合穴，又是八会穴的是____,足三里,尺泽,阳陵泉,悬钟,曲池,C
十二经脉的命名，主要包含了下列哪些内容____,阴阳、五行、脏腑,五行、手足、阴阳,手足、阴阳、脏腑,脏腑、手足、五行,以上均非,C
手、足三阳经在头部的分布规律是____,阳明在前，太阳在侧，少阳在后,太阳在前，少阳在侧，阳明在后,少阳在前，阳明在侧，太阳在后,阳明在前，少阳在侧，太阳在后,太阳在前，阳明在侧，少阳在后,D
手太阴肺经在上肢的分布是____,内侧前廉,外侧前廉,内侧中行,外侧后廉,内侧后廉,A
足三阴经从起始部至内踝上8寸段的分布是____,厥阴在前，太阴在中，少阴在后,厥阴在前，少阴在中，太阴在后,少阴在前，太阴在中，厥阴在后,太阴在前，厥阴在中，少阴在后,太阴在前，少阴在中，厥阴在后,A
循行于上肢内侧中线的经脉是____,手太阳经,手少阳经,手厥阴经,手少阴经,手太阴经,C
分布于胸腹第一侧线的经脉是____,足太阴脾经,足少阴肾经,足少阳胆经,足阳明胃经,足厥阴肝经,B
三焦经在上肢的循行部位是____,外侧前缘,内侧中线,外侧后缘,内侧前缘,外侧中线,E
联系舌根，分散于舌下的经脉是____,足厥阴肝经,足少阴肾经,足太阴脾经,足阳明胃经,足少阳胆经,C
与女子妊娠密切相关的经脉是____,督脉,任脉,冲脉,带脉,阴维脉,B
经络系统中，具有维持人体正常运动功能的是____,十二经脉,十五络脉,十二经别,十二经筋,十二皮部,D
十二经脉中，相表里的阴经与阳经的交接部位在____,四肢部,胸部,腹部,头部,面部,A
手太阳小肠经与足太阳膀胱经的交接部位是____,目外眦,目内眦,目中,鼻旁,口角旁,B
手三阳经的走向为____,从头走足,从足走腹,从胸走手,从手走头,从手走足,D
按十二经脉气血流注次序，小肠经上接____,胆经,心经,胃经,膀胱经,三焦经,B
按十二经脉的流注次序，肝经向下流注的经脉是____,膀胱经,胆经,三焦经,心经,肺经,E
十二经之海是指____,督脉,任脉,冲脉,带脉,阴维脉,C
“阳脉之海”指的是____,阳趼脉,阳维脉,带脉,督脉,冲脉,D
在经络系统中，具有离、入、出、合循行特点的是____,足阳明胃经,足少阳胆经,足太阳膀胱经,手少阳三焦经,手太阳小肠经,B
外邪由皮毛传入脏腑的途径。依次是____,络脉→孙脉→经脉,孙脉→经脉→络脉,经脉→孙脉→络脉,络脉→经脉→孙脉,孙脉→络脉→经脉,E
足三阴经相同的主治是____,肝病、脾胃病,肾病、脾胃病,肺病、脾病、肾病,妇科病、胃肠,前阴病、妇科病,E
脾之大络，名为____,天池,俞府,鸠尾,大包,虚里,D
心包经的原穴是____,神门,间使,大陵,内关,太渊,C
心经的郄穴是____,少府,神门,阴郄,灵道,通里,C
脾经的郄穴是____,外丘,梁丘,中都,地机,金门,D
大肠的下合穴是____,委中,足三里,上巨虚,下巨虚,阳陵泉,C
膀胱经的合穴是____,上巨虚,下巨虚,足三里,委阳,委中,C
不在赤白肉际取穴的穴位是____,后溪、束骨,中渚、大陵,鱼际、腕骨,内庭、太白,八风、然谷,B
不可进行拔罐的病证是____, 中风,腹痛,失眠,头痛,抽搐,E
根据子母补泻取穴法，心包经虚证应选用____,太白,太冲,中冲,太渊,少冲,C
下列各组取穴中，不属于前后配穴的是____, 中府、肺俞,中脘、膈俞,中极、次髎,天枢、肾俞,期门、外关,E
夹脊穴位于脊柱区，后正中线旁开 0.5 寸____, 第 7 颈椎至第 5 腰椎棘突下两侧,第 1 胸椎至骶管裂孔棘突下两侧,第 1 胸椎至第 12 胸椎棘突下两,第 1 颈椎至第 12 胸椎棘突下两侧,第 1 胸椎至第 5 腰椎棘突下两侧,E
患者因月经先后无定期来诊。月经提前或错后，经量或多或少，色紫有块，经行不畅，胸胁乳房胀痛，少腹胀痛，时常叹息，嗳气不舒，苔薄白，脉弦。针灸治疗宜选用下列哪组穴位____,关元、三阴交、肝俞、支沟、阳陵泉,血海、气海、太冲,关元、血海、足三里、脾俞、气海,气海、三阴交、关元俞、归来,关元、血海、太冲,A
大陵属于____,肝经,心包经,督脉,肾经,脾经,B
治疗月经周期不规律，经量少，色淡，腰骶酸痛，头晕，舌淡苔白，脉沉弱，针灸治疗应主选的经脉是____,任脉、足厥阴经,任脉、足太阴经,任脉、督脉、冲脉,任脉、足少阴经,带脉、冲脉、任脉,B
肝阳上亢头痛选____,百会、风池、太冲、太溪、侠溪,主穴加风门,主穴加阴陵泉,主穴加丰隆,主穴加率谷、太阳,A
经络的生理功能不包括____,属脏腑，络肢节,抗御外邪,保卫机体,引经报使药的应用,输布气血，养周身,D
患者病后体虚，头昏目眩，时欲呕吐，神疲乏力，面色白，心悸失眠，舌淡，脉细，宜取何组穴____,风池、肝俞、肾俞、行间、侠溪,丰隆、中脘、内关、解溪、头维,曲池、足三里、风池、太冲,脾俞、足三里、气海、百会,以上都不对,D
沿腹中线旁开 5 分，胸中线旁开 2 寸到达锁骨下缘的经脉是____,足太阴脾经,足厥阴肝经,手太阴肺经,足阳明胃经,足少阴肾经,E
应注意避开血管针刺的是____,太渊,鱼际,列缺,血海,合谷,A
面痛风热证者，应在主方的基础上加____,列缺,颧髎、迎香,曲池、尺泽,阳白、外关,太冲、三阴交,C
手少阳三焦经与足少阳胆经的循行交接部位是____,目外眦,无名指端,鼻旁,足小趾端,目内眦,A
斑秃多选用____,皮肤针法,电针法,皮内针法,三棱针法,穴位注射法,A
以上各组经脉中，皆与胃相联系的是____,足厥阴、足阳明、足少阴经,手太阴、足阳明、手厥阴经,足厥阴、手太阳、足太阴经,足太阴、手阳明、足厥阴经,足阳明、手阳明、手厥阴经,C
少商放血主治____,腹胀便秘,咽喉肿痛,目赤肿痛,肩背疼痛,小便不利,B
下列腧穴中，不属于合穴的是____,足三里,委中,委阳,阴陵泉,三阴交,E
犊鼻下 3 寸，胫骨前嵴外开一横中指是____,足三里,上巨虚,光明,下巨虚,地机,A
患者，男，48 岁。腰痛，起病缓慢，隐隐作痛，绵绵不已，腰腿酸软乏力，脉细。治疗除取主穴外，还应加____,命门、志室、太溪,风府、足三里、血海,风府、大杼、阳陵泉,风府、三阴交、太冲,人中、风府、足三里,A
下列除哪项外均与足阳明经循行有联系____,舌,咽喉,目,口,鼻,A
风寒头痛选____,主穴加风门,主穴加率谷、太阳,主穴加丰隆,主穴加曲池、尺泽,主穴加太溪、侠溪,A
患者头部空痛 10 年，头痛隐隐，遇劳发作，兼头晕，神疲乏力，面色不华，舌淡，脉细弱。其辨证为____,瘀血头痛,痰浊头痛,虚证头痛,血虚头痛,肾虚头痛,D
治疗气血虚型不寐，应配合____,行间、侠溪, 心俞、胆俞,足三里、内关,太溪、肾俞,心俞、脾俞,B
位于面部，颊唇沟的正中凹陷处的腧穴是____,廉泉,水沟,迎香,承浆,地仓,D
现有十四经穴数目为____,360 个, 363 个, 362 个, 361 个, 366 个,D
足太阳膀胱经的输穴是____,委中,飞扬,昆仑,束骨,申脉,D
女性，45 岁，患者头痛 2 周，加重 2 天，疼痛呈持续性，以前额及两颞部疼痛为主，眠差，舌淡红，苔薄白。此病例按头痛部位应辨证属哪项经脉____,阳明头痛、厥阴头痛,阳明头痛、太阳头痛,阳明头痛、少阳头痛,少阳头痛、太阳头痛,以上都不是,C
治疗肝胆两经病证应首选____,蠡沟,公孙,大钟,丰隆,中都,A
属于手太阳小肠经的腧穴是____,神门,听会,耳门,下关,听宫,E
舒张进针法适宜于____,短针,长针, 皮肉浅薄部位的腧穴,皮肤松弛部位的腧穴,皮肤有瘢痕部位的腧穴,D
不属于十宣穴主治病证的是____,高热,牙松龈痛,手指麻木,癫痫,昏迷,B
四缝穴的位置在____,手 1~4 指掌侧，指骨关节横纹中点处,手 2~5 指掌侧，指骨关节横纹中点处,手 1~5 指掌侧，指蹼缘后方赤白肉际处,手 2~5 指掌侧，近端指骨关节横纹中点处,手 1~4 指掌侧，近端指骨关节横纹中点处,D
手足三阳经在四肢的分布规律是____,阳明在前，少阳在中，太阳在后,阳明在前，太阳在中，少阳在后,太阳在前，阳明在中，少阳在后,太阳在前，少阳在中，阳明在后,少阳在前，阳明在中，太阳在后,A
强刺激容易引起流产的穴位是____,内关,关元,合谷,太冲,中极,C
中风中经络舌强语謇者，可在主方上再加____,哑门、廉泉、通里,哑门、关元、地机,中脘、支沟、天枢,中脘、太溪、三阴交,中脘、气海、血海,A
治疗感冒夹暑者，宜加用____,曲池,阴陵泉,风门,太冲,委中,E
足三阴经在小腿上 8 寸以下，其排列规律是____,厥阴在前，少阴在中，太阴在后,太阴在前，厥阴在中，少阴在后,少阴在前，厥阴在中，太阴在后,厥阴在前，太阴在中，少阴在后,太阴在前，少阴在中，厥阴在后,D
下列不符合十二经脉循行流注次序的是____,心、小肠、肾经,肝、胆、肝经,三焦、胆、肝经, 脾、心、小肠经,肾、心包、三焦经,A
男性，40 岁。一周前出差四川，工作紧张之余，尽享辛辣美味。归京后一直没有临厕，兼见烦渴，口臭喜冷，脉滑实，苔黄燥，急求针灸通便。针灸取穴为____,上巨虚、天枢、支沟、三阴交、足三里,上巨虚、天枢、支沟、中脘、行间,上巨虚、天枢、支沟、脾俞、胃俞,上巨虚、天枢、支沟、神阙、气海,上巨虚、天枢、支沟、合谷、曲池,E
取穴的方法不包括____,远道取穴,随证取穴,辨证取穴,近部取穴,经验取穴,E
男性，67 岁，患者突发右侧肢体活动不利，言语不清，口角流涎，伸舌右偏、口角喎斜，血压 180/100mmHg，便秘三日未行，脉弦，舌暗红苔黄腻。此病例根据症、舌、脉应辨证为____,气虚血瘀,风阳上扰,肝胆火旺,痰热腑实,以上都不是,D
不属于手阳明经主治病的是____,眼病,口齿病,热病,前头、鼻病,耳病,E
足厥阴经的募穴是____,风门,期门,章门,神门,梁门,B
患儿 5 岁，尿床 2 年，每月一次或数次，伴见精神不振，食欲减退，舌淡苔白，脉细弱。治疗宜选用下列哪组穴位____,关元、中极、三阴交、肾俞、膀胱俞,心俞、脾俞、肾俞、三阴交,太溪、曲骨、气海、八髎,次髎、夹脊、昆仑、曲泉,以上都不正确,A
井穴的五行属性是____,阴经属土，阳经属木,阴经属水，阳经属土,阴经属火，阳经属水,阴经属金，阳经属火,阴经属木，阳经属金,E
针刺肾俞、环跳、足临泣，宜采用____,俯卧位,俯伏坐位,仰靠坐位,侧卧位,仰卧位,D
张某，女，44 岁，因感受风寒后，时吐清水，食后乃吐，苔白脉迟，喜暖畏寒，大便溏薄。针灸治疗应取何经为主____,胃经,脾经,大肠经,心包经,膀胱经,A
在踝区，外踝尖直下，外踝下缘与跟骨之穴间凹陷中的腧穴是____,照海,血海,太溪,申脉,昆仑,D
 针灸治疗气血虚弱痛经，宜加用____,关元、归来,阴陵泉、外关,太冲、血海,气海、脾俞,太溪、肾俞,D
在胸腹部经脉由中向外的排列顺序是____,任脉在中，肾经、胃经、脾经,任脉在中，心经、肾经、肝经,任脉在中，肾经、胃经、肝经,任脉在中，胃经、心经、脾经,任脉在中，心经、胃经、脾经,A
循行 “环阴器” 的经脉是____,足太阳膀胱经,足太阴脾经,足少阳胆经,足厥阴肝经,足阳明胃经,D
手阳明大肠经的经穴是____, 阳池,合谷,商阳,偏历,阳溪,E
根据骨度分寸法，下列除哪项外其间距均为 9 寸____,季胁至髀枢,胸剑联合至脐中,腋前纹头至肘横纹,天突至歧骨,两完骨之间,B
目赤肿痛，羞明，流泪，眵多，伴有口苦咽干、舌红、苔黄、脉弦数。针灸治疗除主穴合谷、睛明、太阳、太冲外配穴为____,阳池、曲池,风池、少商,外关、天井,涌泉、太溪,行间、侠溪,E
医者的手指消毒和施行针刺部位的消毒正确的为____,穴位用 95% L 醇棉球或 0.,涂擦穴位应该先外再内，集中消毒,炎症部位可以不需要消毒,手指必须先用肥皂水洗刷干净,手指用 75%, 醇棉球或 5% 的碘伏涂擦消毒,D
患者素体虚弱，近劳累后耳鸣如蝉，时发时止，夜间为重，听力减退，兼虚烦失眠，头晕目眩，食纳差，面萎黄，舌红少苔，脉细，宜选取的穴位为____,听宫、侠溪、中渚,耳门、听会、翳风、太冲,太溪、耳门、听会、太冲,侠溪、听会、翳风、中渚、肾俞,以上都不对,D
内踝高点上 3 寸，胫骨内侧面后缘是____,光明,复溜,三阴交,阴陵泉,绝骨,C
治疗中经络之痰热腑实证，应配用____,太溪、风池,曲池、丰隆、内庭,丰隆、合谷,足三里、气海、血海,太冲、太溪,B
隔盐灸的适应证是____,吐泻并作、中风脱证,疮疡久溃不敛,瘰疬、初起的肿疡,风寒痹痛、呕吐,因寒而致的呕吐、腹痛,A
脏腑之气汇聚于胸腹部的腧穴称为____, 原穴,募穴,络穴,八会穴,五输穴,B
下列‘八会穴’有误的是____,气会章门,腑会中脘,髓会绝骨,脉会太渊,脏会章门,A
公孙穴位于____,第一跖骨趾关节部，赤白肉际处,第一跖骨小头前缘，赤白肉际处,第一跖骨小头后缘，赤白肉际处,第一跖骨基底部前下缘，赤白肉际处,第一跖骨基底部后下缘，赤白肉际处,D
下列有关风府穴针刺操作的叙述，正确的____,向鼻尖方向缓慢刺入 0.5~1 寸,向上缓慢刺入 0.5~1 寸,向上缓慢刺入 1~1.5 寸,向下颌方向缓慢刺入 0.5~1 寸,正坐位，头微后倾，项部放松,D
常用治疗急性病的灸法是____,雀啄灸,温灸器灸,太乙神灸,瘢痕灸,温和灸,A
足太阴脾经与手少阴心经的循行交接部位是____,心中,手小指端,肺中,足大趾内端,胸中,A
风池穴主治除哪项以外的各种病症____,目赤肿痛，目眩,中风偏瘫,腹痛便秘,感冒，热病,鼻衄，鼻渊,C
下列各项中，不属于远部选穴的是____,耳聋选中渚,咳嗽取中府,头痛选至阴,胃痛选足三里,目赤选关冲,B
 前额两发角（头维）之间的骨度分寸是____,6 寸,9 寸,8 寸,13 寸,12 寸,B
膀胱俞主治____,带下病、月经不调,小便频数或不利、遗尿,疝气,水肿,腰腿痛,B
 以下穴位不在腕横纹上的是____,神门、大陵,太渊、阳溪,养老、小海,阳谷、阳池,以上穴位均在腕横纹上,C
 下列不属于曲泽穴主治病证的是____,咳嗽、胸满,暑热病,肘臂挛痛,胃痛、呕血,心痛、善惊,A
针灸治疗实证痛经应主取的是____,任脉、足少阴经穴,督脉、足厥阴经穴,冲脉、足厥阴经穴,任脉、足厥阴经穴,任脉、足太阴经穴,E
常用于治疗口歪、痛经、小便不利的腧穴是____,中脘,隐白,大敦,期门,太冲,E
治疗耳鸣耳聋实证的主穴是____,听会、合谷、印堂、外关,翳风、地仓、太阳、内关,翳风、听会、侠溪、中渚,听会、耳门、昆仑、腕骨,风池、听宫、头维、尺泽,C
络穴主要治疗____,六腑病证,五脏六腑病证,五脏病证,表里经脉病证,急性病证,D
男性，45 岁。5 年来，胃脘部经常反复发作性疼痛。表现为隐隐作痛，喜温喜按，纳差神疲，大便溏，苔白，脉弱。针灸取穴为____,中脘、足三里、膈俞、公孙、三阴交,中脘、足三里、脾俞、胃俞、内庭,中脘、内关、足三里、太冲、合谷,中脘、足三里、脾俞、胃俞、关元,中脘、内关、足三里、梁门、建里,D
下列腧穴中，治疗汗证首选的是____,涌泉,复溜,照海,太溪,然谷,B
男，25 岁，突发头痛，后头严重，连及项背，兼见恶风畏寒，口不渴苔薄白，脉浮紧，宜选用____,百会、太阳、风池、合谷、曲池,百会、太阳、风池、合谷、头维,百会、太阳、风池、合谷、天柱,百会、太阳、风池、合谷、印堂,百会、太阳、风池、合谷、外关,C
肺实证、采用 “母子补泻法”，应泻____,尺泽,太渊,经渠,孔最,列缺,A
治疗耳鸣耳聋实证的主穴是____,听会、合谷、印堂、外关,翳风、地仓、太阳、内关,翳风、听会、侠溪、中渚,听会、耳门、昆仑、腕骨,风池、听宫、头维、尺泽,C
络穴主要治疗____,六腑病证,五脏六腑病证,五脏病证,表里经脉病证,急性病证,D
男性，45 岁。5 年来，胃脘部经常反复发作性疼痛。表现为隐隐作痛，喜温喜按，纳差神疲，大便溏，苔白，脉弱。针灸取穴为____,中脘、足三里、膈俞、公孙、三阴交,中脘、足三里、脾俞、胃俞、内庭,中脘、内关、足三里、太冲、合谷,中脘、足三里、脾俞、胃俞、关元,中脘、内关、足三里、梁门、建里,D
下列腧穴中，治疗汗证首选的是____,涌泉,复溜,照海,太溪,然谷,B
男，25 岁，突发头痛，后头严重，连及项背，兼见恶风畏寒，口不渴苔薄白，脉浮紧，宜选用____,百会、太阳、风池、合谷、曲池,百会、太阳、风池、合谷、头维,百会、太阳、风池、合谷、天柱,百会、太阳、风池、合谷、印堂,百会、太阳、风池、合谷、外关,C
肺实证、采用 “母子补泻法”，应泻____,尺泽,太渊,经渠,孔最,列缺,A
直接灸法又可分为____,化脓灸、瘢痕灸,艾炷灸、艾条灸,非化脓灸，无瘢痕灸,艾条灸、白芥子灸,化脓灸、非化脓灸,E
丰隆穴的功效中最突出的特点是____,活血化瘀,宣肺化痰,通腑泻热,清肺止咳,健脾化痰,E
大肠的募穴是____,梁门,中脘,下脘,天枢,水道,D
下列各项中，叙述错误的是____,脾之大络络散布于全身,任脉别络散布于腹部,心经络脉走向小肠经,大肠经之络脉走向肺经,督脉别络散布于头部,A
后溪穴的主治不包括____,耳鸣耳聋,头项强痛,癫、狂、痫,热病、疟疾,胸胁疼痛,E
治疗腰脊强痛应首选____,公孙,列缺,足临泣,后溪,照海,D
环跳穴治疗下肢病的理想针感为____,针感传至足,局部酸胀,针感传至前阴,针感传至膝,针感传至小腿,A
艾灸至阴穴最常用于治疗____,胎位不正,目痛,鼻衄,难产,头痛,A
十四椎下旁开 3 寸的穴位是____,膀胱俞,肾俞,大肠俞,志室,胃俞,D
临床取孔最常用于治疗____,咽喉肿痛,咳血,头痛,肘臂挛痛,痔疮,B
以下穴位不在发际以上的穴位是____,风府,上星,头临泣,素髎,哑门,D
选择毫针治疗正确的为____,女性、体弱、形瘦的，病变部位较浅者，选用较粗的、较短的毫针,皮薄肉少和针刺较浅的腧穴，选针宜短而针身宜粗,选择针具的长度一般以将针刺入腧穴应至的深度而正好针身没入体内为宜,皮厚肉丰和针刺较深的腧穴，选针宜长而针身宜粗,男性、体壮、形胖的，病变部位较深者，选用较细的、较长的毫针,D
治疗痛痹宜配穴____,大椎、曲池,足三里、阴陵泉,阳陵泉、大杼,肾俞、关元,膈俞、血海,D
治疗带下量多，色黄稠黏，如脓如涕，气秽臭，阴中瘙痒，小腹作痛，小便短赤，口苦咽干，舌红，苔黄，脉滑数。治疗除主穴带脉、中极、白环俞、三阴交外，宜加取____,次髎、行间、阴陵泉,关元、肾俞,脾俞、足三里,血海、三阴交,中脘、天枢,A
治疗经血不止 10 天，下血量多，色深红，质黏稠，气味臭秽，口干喜饮，舌红苔黄，脉滑数。治疗取穴是____,关元、三阴交、行间、阴陵泉,关元、足三里、隐白、太冲,关元、三阴交、隐白、血海,关元、足三里、隐白、内庭,气海、三阴交、足三里、太溪,C
患者牙龈红肿，牙痛剧烈，伴口臭，口渴，便秘，尿赤，舌红，苔黄，脉洪数。治疗除主穴合谷、颊车、下关外，宜配____,内庭、二间,外关、风池,太溪、行间,太冲、行间,行间、侠溪,A
张某，男，24 岁。形体壮硕，肌肉结实，消谷善饥，大便干燥，舌质红，苔黄腻，脉滑数。针刺治疗应在常规取穴的基础上加____,三阴交、水分,肾俞、关元,膻中、内关,脾俞、足三里,上巨虚、内庭,E
患者女，53 岁。右上齿痛半年，隐隐作痛，时作时止，午后或夜晚加重，日久不愈，伴头晕眼花，手足心热，腰膝酸软，舌红，苔少，脉细数。针灸治疗在合谷、颊车、下关的基础上，应加取____,外关、风池,内庭、二间,太溪、行间,风池、侠溪,风池、太冲,C
